Datetime,Last Current Price,24 Hr High Price,24 Hr Low Price,24 Hr Volume,Coins,Base Currency,URL
2018-08-11 09:05:50.386791,0.05361009,0.05734372,0.05549890,1191.37 BTC,Bitcoin,Ethereum,https://yobit.net/en/
2018-08-11 09:07:19.734659,0.05361009,0.05636000,0.05253300,2172.16 BTC,Bitcoin,Ethereum,https://yobit.net/en/
2018-08-11 09:09:46.911091,0.05280738,0.05636000,0.05253300,2172.18 BTC,Bitcoin,Ethereum,https://yobit.net/en/
